company,slug,title,location,employmentType,publishedAt,jobUrl,applyUrl,required_count,required_essays,broad_sponsorship_question,export_control_question,external_artifact,g2_blockers,required_corrections,g2_candidate,notes
Anyscale,anyscale,Software Engineer (Ray Data),San Francisco,FullTime,2026-08-28T17:01:06.395+00:00,https://jobs.ashbyhq.com/anyscale/01aef589-e268-4b22-b513-d1f9f076210f,https://jobs.ashbyhq.com/anyscale/01aef589-e268-4b22-b513-d1f9f076210f/application,6,,True,False,False,,sponsorship_answer_no,True,department=Engineering
Baseten,baseten,Software Engineer - Identity and Authorization,San Francisco,FullTime,2026-09-02T15:37:51.977+00:00,https://jobs.ashbyhq.com/baseten/19972142-ec0b-4049-8d8f-6a341f57f938,https://jobs.ashbyhq.com/baseten/19972142-ec0b-4049-8d8f-6a341f57f938/application,8,,True,False,False,,sponsorship_answer_no,True,workplaceType=Hybrid;department=EPD
Baseten,baseten,Product Data Scientist,San Francisco,FullTime,2026-09-02T22:40:01.809+00:00,https://jobs.ashbyhq.com/baseten/2efc2f65-9494-482a-9b21-5d009d045423,https://jobs.ashbyhq.com/baseten/2efc2f65-9494-482a-9b21-5d009d045423/application,9,Why do you want to work at Baseten?,True,False,False,required_essay,sponsorship_answer_no,False,workplaceType=Hybrid;department=G&A
Baseten,baseten,Data Scientist,San Francisco,FullTime,2026-09-02T23:03:12.050+00:00,https://jobs.ashbyhq.com/baseten/f160637f-b6bf-4f69-a8bd-862a3a3a8b0d,https://jobs.ashbyhq.com/baseten/f160637f-b6bf-4f69-a8bd-862a3a3a8b0d/application,9,Why do you want to work at Baseten?,True,False,False,required_essay,sponsorship_answer_no,False,workplaceType=Hybrid;department=G&A
Bland,bland,Machine Learning Intern,San Francisco,FullTime,2026-08-28T20:04:30.356+00:00,https://jobs.ashbyhq.com/bland/c8a5c0de-935d-4f76-bc7d-237cbfb2cf55,https://jobs.ashbyhq.com/bland/c8a5c0de-935d-4f76-bc7d-237cbfb2cf55/application,6,Why are you a fit for this role?,False,False,False,required_essay,,False,workplaceType=OnSite;department=Engineering
Clera,clera,Founding Agentic Engineer,San Francisco,FullTime,2026-08-30T17:06:53.636+00:00,https://jobs.ashbyhq.com/clera/6e6ae78d-737b-4c23-b244-765b5c0dacf6,https://jobs.ashbyhq.com/clera/6e6ae78d-737b-4c23-b244-765b5c0dacf6/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,AI Engineer,Stockholm,FullTime,2026-08-30T17:07:44.609+00:00,https://jobs.ashbyhq.com/clera/0ba4a2e5-4707-4246-af02-aaf10d5b9275,https://jobs.ashbyhq.com/clera/0ba4a2e5-4707-4246-af02-aaf10d5b9275/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,"Member of Technical Staff, Product",Munich,FullTime,2026-08-30T17:09:21.570+00:00,https://jobs.ashbyhq.com/clera/231007b4-474c-4acd-8b39-d81e147ab9ec,https://jobs.ashbyhq.com/clera/231007b4-474c-4acd-8b39-d81e147ab9ec/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Product Engineer,Leipzig,FullTime,2026-08-30T17:15:10.350+00:00,https://jobs.ashbyhq.com/clera/3c6f6d5e-961e-473a-a5f2-723b92d42625,https://jobs.ashbyhq.com/clera/3c6f6d5e-961e-473a-a5f2-723b92d42625/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,AI Engineer – Model Training & Deployment,Munich,FullTime,2026-08-30T17:16:01.402+00:00,https://jobs.ashbyhq.com/clera/6c599441-d92b-4f1a-b63d-491f775ae979,https://jobs.ashbyhq.com/clera/6c599441-d92b-4f1a-b63d-491f775ae979/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
