company,role,url,source,track,date_discovered,fetched_at,posted_relative,location,work_model,h1b_signal,is_new_grad_signal,list_url,notes
Accel Learning,AI Engineer (Internship) - Intelligent Question Bank Platform,https://jobright.ai/jobs/info/6a546d9a8ef95364ead958c8,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,9 hours ago,"Secaucus, NJ, United States",Remote,1-10,"1. Strong foundation in software engineering: data structures, APIs, system design 2. Proficiency in Python (primary language for AI/ML pipeline work) 3. Experience with REST APIs and at least one database (PostgreSQL preferred) ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=9 hours ago
BMW Group,"Intern, IT Data & AI Engineering - Fall 2026",https://jobright.ai/jobs/info/6a63cc7d979290281c70431c,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,4 hours ago,"Columbus, OH, United States",Hybrid,10000+,"1. Currently enrolled in a bachelor’s or master’s degree program at an accredited college or university. 2. US Work Authorization required. 3. Minimum cumulative GPA of 3.0 (overall, not just major). ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=4 hours ago
ByteDance,Applied Research Intern - AI Safety Security - Global Tech Research Program - 2027 Start (PhD),https://jobright.ai/jobs/info/6a54fa08ae07d60a8d00e113,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,12 hours ago,"San Jose, CA, United States",On Site,10000+,"1. Currently pursuing PhD in Computer Science or a related discipline. 2. Excellent knowledge of theory and practice of LLM and foundation model. 3. Strong publication record at leading conferences (NeurIPS, ICML, ICLR, ACL, EMNLP, etc.). ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=12 hours ago
Citadel,Machine Learning Researcher – PhD Intern (US),https://jobright.ai/jobs/info/6a66a23887cef057612d0410,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,12 hours ago,"New York, NY, United States",On Site,1001-5000,"1. PhD degree in mathematics, statistics, physics, computer science, or another highly quantitative field 2. Advanced training and a strong research track record in machine learning, statistics, deep learning, natural language processing, artificial intelligence, or a closely related quantitative field 3. Prior experience working in a data driven detailed research environment ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=12 hours ago
Citadel,Quantitative Research Engineer – PhD Intern (US),https://jobright.ai/jobs/info/6a66f6c0e8d8d22e32930f19,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,6 hours ago,"New York, NY, United States",On Site,1001-5000,"1. PhD degree in computer science, mathematics, statistics, physics, or another highly quantitative field 2. Strong programming skills with proficiency in one or more programming languages, including C++, Python, and R 3. A deep passion for technology, software development, and mathematics ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=6 hours ago
Lawrence Livermore National Laboratory,Computing Undergraduate Student Intern - Fall 2026,https://jobright.ai/jobs/info/6a3db323882f121f56a38acc,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,2 hours ago,"Livermore, CA, United States",Hybrid,5001-10000,"1. Must be eligible to access the Laboratory in compliance with Section 3112 of the National Defense Authorization Act (NDAA). 2. Must be a continuing college or university student in good standing at an accredited institution pursuing an undergraduate degree in Computer Science, Mathematics, Data Science, Machine Learning, Cybersecurity, or other related STEM fields. 3. Proven ability to adapt and thrive in challenging situations, demonstrating resilience and problem-solving skills to achieve goals while overcoming setbacks. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
NVIDIA,DGX Cloud Kubernetes Runtime Intern - Fall 2026,https://jobright.ai/jobs/info/6a1fb80ec5277c00c64881cd,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,15 hours ago,"US, CA, Santa Clara, US",On Site,10000+,"1. Currently pursuing a BS, MS, or PhD in Computer Science, Computer Engineering, or related field 2. Hands-on experience with Kubernetes (through coursework, personal projects, or previous internships) 3. Familiarity with at least one programming language such as Go, Python, or Java ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=15 hours ago
Neuralink,"Software Engineer Intern, BCI Applications",https://jobright.ai/jobs/info/6a58cc44856af468abfffc60,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,5 hours ago,"South San Francisco, CA, United States",On Site,251-500,"1. Strong experience with full-stack development 2. Fluent in programming languages such as Swift, Objective-C, Kotlin or Java 3. Experience in architecting elegant, maintainable, performant and reliable user facing software applications ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
Optiver,Quantitative Engineer - Credit,https://jobright.ai/jobs/info/6a244577757ade085b6affe9,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,2 hours ago,"New York, New York",On Site,1001-5000,1. Strong engineering instincts and a deep understanding of computer science fundamentals 2. Programming experience across C++ or C with other object-oriented languages also considered 3. Experience optimizing high-throughput systems that must process and react in real-time to streams of pricing and trade data ...,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
Pacific Northwest National Laboratory,Masters Intern - Research Computing Internship (PEARC),https://jobright.ai/jobs/info/6a66d42f8d5360344960a576,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,9 hours ago,United States,Remote,1001-5000,1. Candidates must be matriculated/enrolled in a Master's program at an accredited college or university. 2. Minimum GPA of 3.0 is required. 3. U.S. Citizenship is required. ...,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=9 hours ago
Pacific Northwest National Laboratory,Undergrad Tech Intern - Research Computing Internship (PEARC),https://jobright.ai/jobs/info/6a67406d2bf1fb2b7192478b,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,8 hours ago,"Richland, WA, United States",On Site,1001-5000,1. Candidates must have a high school diploma /GED or higher 2. Candidates must be degree-seeking undergraduate students enrolled at an accredited college or university 3. Candidates must be taking at least 6 credit hours and have an overall cumulative GPA of 3.0,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=8 hours ago
Pacific Northwest National Laboratory,Undergrad Tech Intern - Research Computing Internship (PEARC),https://jobright.ai/jobs/info/6a66d59687cef057612d0944,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,9 hours ago,United States,Remote,1001-5000,1. Candidates must have a high school diploma /GED or higher 2. Candidates must be degree-seeking undergraduate students enrolled at an accredited college or university 3. Candidates must be taking at least 6 credit hours and have an overall cumulative GPA of 3.0,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=9 hours ago
"Peak Retirement Planning, Inc.",IT Intern,https://jobright.ai/jobs/info/6a44f3188206850566059cee,intern_list,internship_if_eligible,2026-07-27,2026-07-27T09:00:23-04:00,6 hours ago,"Columbus, OH, United States",On Site,11-50,1. Willingness to pursue professional development and industry certifications 2. Assist in break-fix solutions 3. Data and systems administration ...,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=6 hours ago
