company,role,url,source,track,date_discovered,fetched_at,posted_relative,location,work_model,h1b_signal,is_new_grad_signal,list_url,notes
Black Box,AI Engineer Intern - USA,https://jobright.ai/jobs/info/6a52f0d58576ec69c014e091,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,3 hours ago,"PLANO, TX, United States",On Site,1001-5000,"1. Currently pursuing a Master’s degree in Engineering or a related field (Computer Science, Artificial Intelligence, Data Science, or similar). 2. Must have at least 6 months remaining to complete the Master’s program at the time of joining. 3. Must have a minimum of 2+ years of relevant professional experience between Bachelor’s and Master’s programs. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
ByteDance,3D Graphics Engineer Intern (PICO Foundation) - 2026 Summer (BS/MS),https://jobright.ai/jobs/info/6a684fa1abe8ae03a4722a92,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,6 hours ago,"San Jose, CA, United States",On Site,10000+,"1. Currently pursuing an Undergraduate/Master in Software Development, Computer Science, Computer Engineering, or a related technical discipline 2. Able to commit to working for 12 weeks during Summer 2026 3. 3D Graphics rendering experience ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=6 hours ago
ByteDance,Machine Learning Engineer Intern (E-commerce Governance Algorithms) - 2026 Start (PhD),https://jobright.ai/jobs/info/6a50ac042e2ceb72963b4cc1,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,6 hours ago,"Seattle, WA, United States",On Site,10000+,"1. Currently pursuing a PhD degree in Computer Science or a related technical field 2. An understanding or keen interest in machine learning, NLP, or computer vision 3. Familiarity with programming languages such as C++, Python, Go, or Java",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=6 hours ago
ByteDance,Machine Learning Engineer Intern (Global E-commerce Risk Control) - 2026 Start (PhD),https://jobright.ai/jobs/info/6a55db55ec54dd532d814b4a,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Seattle, WA, United States",On Site,10000+,"1. Currently pursuing a PhD in Computer Science Engineering, Operations Research, or related fields 2. Able to commit to working for 12 weeks during Summer 2026 3. Proficiency in modern machine learning theories and applications, including ensemble trees, deep neural networks, transfer/multi-task learning, reinforcement learning, graph theory, and unsupervised learning ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=4 hours ago
ByteDance,Security Software Engineer Project Intern (Network Security) - 2026 Start (BS/MS),https://jobright.ai/jobs/info/6a6859e257cfac3b219142b9,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,5 hours ago,"San Jose, CA, United States",On Site,10000+,"1. Undergraduate, or Postgraduate who is currently pursuing a degree/master in Computer Science, Computer Engineering, Information Systems or other STEM disciplines 2. Proficient in at least one programming language among Go, Python, and C, with strong coding capabilities 3. Familiar with common algorithms, such as one of the following: multi-threaded programming / Big Data Analysis / Machine Learning / Deep Learning, etc. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
ByteDance,Site Reliability Engineer Project Intern (Security Engineering) - 2026 Start (BS/MS),https://jobright.ai/jobs/info/6a6855456eaf5519573a6186,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,5 hours ago,"San Jose, CA, United States",On Site,10000+,"1. Undergraduate, or Postgraduate who is currently pursuing a degree/master in Computer Science, Computer Engineering, Information Systems or other STEM disciplines. 2. Programming skills in Go/Python/Shell or equivalent 3. Proficient in Linux systems with networking/storage architecture expertise ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
Carrier,Infrastructure Services Intern - Fall,https://jobright.ai/jobs/info/6a678d99872eb74f9ead9aca,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Palm Beach Gardens, FL, United States",On Site,10000+,"1. Must be currently pursuing a bachelor’s degree in Information Technology, Computer Science, or Digital Technology 2. Must have an overall GPA of 3.0 or higher. 3. Must be eligible to work in the US without sponsorship.",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=4 hours ago
Center for AI Safety,Research Engineer Intern,https://jobright.ai/jobs/info/6a680f9f2bf1fb2b719283ca,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,10 hours ago,"San Francisco, CA, United States",On Site,11-50,"1. Are a current student in machine learning or a related field. Exceptional candidates with a strong publication record may be considered regardless of degree level. 2. Have co-authored at least one paper published at a top ML conference venue (e.g., NeurIPS, ICML, ICLR, ACL, CVPR). Workshop papers are considered, though peer-reviewed conference publications are strongly preferred. Publications in journals such as IEEE or Springer Nature are typically given less weight. 3. Have a track record of empirical research in AI or ML, particularly in AI safety-relevant areas (e.g. adversarial robustness, calibration, benchmarking). We weight empirical research heavily; candidates with primarily theoretical backgrounds are generally not a strong fit. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=10 hours ago
Citadel,Software Engineer – Intern (US),https://jobright.ai/jobs/info/6a684a25ef09852f833e7d81,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,6 hours ago,"New York, NY, United States",On Site,1001-5000,"1. Bachelor's, master's or PhD in computer science, computer engineering or related fields 2. Exceptional programming and design skills 3. Strong analytical skills and familiarity with probability and statistics ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=6 hours ago
East Penn Manufacturing Co.,Data Engineering Intern,https://jobright.ai/jobs/info/6a68667ef262f344fb541f1d,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Ann Arbor, MI, United States",On Site,10000+,"1. Currently pursuing a Bachelor's degree in Computer Science, Data Engineering, Information Systems, Software Engineering, or a related field. 2. Must be a US Citizen or have a valid green card 3. Must be able to work on site at our Ann Arbor location ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=4 hours ago
